numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista,jaCliente,anosRelacao,mobCliente,passagemCliente
1,James Richardson-Patel,Alexandra Williams,KEBE17609492220843,0,0.252448306,0.0,10/12/2015,0,0.0,50000.0,6,1,0.7169811320754716,0.2830188679245283,0.0,50000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1766880.0,0.0,12.0,0.0,2003.0,3,90000.0,0,1,1.0,43200.0,03/02/2020,1,9,2,1.0
2,Dr. Geoffrey Walsh,Mr. Darren Arnold,JRBK88908250677300,0,0.0,-9999.0,12/06/2019,0,0.0,10000.0,3,0,1.0,0.0,0.0,0.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,2,2,0.0,-9999.0,01/01/1900,1,5,1,0.0
3,Joanna Hudson,Dr. David Rees,GCVQ28531614261293,4,0.6247772648,0.0,27/11/2019,0,0.0,20000.0,6,1,0.7169811320754716,0.2830188679245283,0.0,20000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2814940.0,0.0,7.0,0.0,2014.0,2,20000.0,0,1,1.0,4320.0,04/02/2020,1,5,1,1.0
4,Gordon Jones-Hopkins,Sara Reid-Robson,KJND32266018316396,20,0.0,-9999.0,13/02/2017,0,0.0,25000.0,6,3,0.3962264150943396,0.6037735849056604,0.485811098701238,15000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1285274.0,0.0,12.0,0.0,2013.0,2,30000.0,0,1,0.0,5920.0,04/02/2020,1,7,2,1.0
5,Nigel Lee,Dr. Stanley Duncan,CGQN15826802440348,20,0.4540878993,0.0,13/07/2010,20,1486.95,50000.0,6,1,0.830188679245283,0.1698113207547169,0.0,50000.0,01/01/1900,30/09/2019,14758917.0,12149031.0,25793410.0,14544378.0,3039112.0,11797928.0,3047791.0,40779757.0,81459809.0,9.0,40680051.0,2002.0,3,75000.0,0,0,1.0,89000.0,04/02/2020,1,14,3,1.0
6,Liam Jackson,Gerard Gordon,KAYS53232027306925,0,0.0,-9999.0,28/06/2019,0,0.0,25000.0,6,2,0.6226415094339622,0.3773584905660377,0.0,20000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,918476.0,0.0,12.0,0.0,2011.0,2,15000.0,0,1,0.0,38400.0,04/02/2020,1,5,1,1.0
7,Alexander Baker-Wells,Dr. Caroline Ali,PYOL43118620147076,16,0.0,-9999.0,02/03/2011,0,0.0,100000.0,6,2,0.5849056603773584,0.4150943396226415,-0.997517069602544,80000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,239016696.0,-7540544.0,12.0,156394112.0,1982.0,3,30515674.0,1,0,0.0,18132588.0,05/02/2020,1,13,3,0.8
8,Jean Berry,Gregory Gould,NLUX93496216176463,4,0.3501754325,0.0,02/07/2007,102,208980.0,300000.0,6,0,0.9433962264150944,0.0566037735849056,0.0,300000.0,01/01/1900,30/09/2019,17801610.0,2538069.0,19415777.0,7519758.0,0.0,3742963.0,11902384.0,11958227.0,9357949.0,9.0,0.0,2000.0,3,120000.0,0,0,1.0,768233.0,05/02/2020,1,17,3,1.0
9,Elliot Stephenson,Adrian Graham,LOVL82962402474134,43,0.2458177861,0.0,10/07/2006,27,6432.0,400000.0,6,1,0.8867924528301886,0.1132075471698113,0.0,400000.0,01/01/1900,31/12/2018,36827690.0,13843198.0,39455945.0,25612746.0,0.0,15980275.0,11420388.0,72479551.0,6233236.0,12.0,-49267738.0,2000.0,3,1000000.0,0,0,1.0,6910219.0,05/02/2020,1,18,3,0.7
10,Dr. Dale Dawson,Caroline Hale,NXKJ36775578171965,24,1.20858e-05,0.0,24/02/2011,0,22733.33,50000.0,3,0,1.0,0.0,0.0,0.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,2,2,0.8315898944,-9999.0,01/01/1900,1,13,3,0.8
